"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"16.06","16.26","16.45",0.1458,0.1475,0.1493,"Central"
"Africa","AGO","Angola","Benguela",10312941,"16.32","16.62","16.93",0.1417,0.1443,0.147,"Central"
"Africa","AGO","Angola","Bie",10312934,"18.03","18.23","18.43",0.1301,0.1315,0.133,"Central"
"Africa","AGO","Angola","Cabinda",10313678,"15.31","15.47","15.63",0.1534,0.155,0.1567,"Central"
"Africa","AGO","Angola","Cuando Cubango",10314219,"16.86","17.04","17.22",0.1392,0.1407,0.1422,"Central"
"Africa","AGO","Angola","Cuanza Norte",10315857,"17.19","17.37","17.56",0.1366,0.138,0.1395,"Central"
"Africa","AGO","Angola","Cuanza Sul",10314162,"21.68","21.93","22.2",0.108,0.1093,0.1106,"Central"
"Africa","AGO","Angola","Cunene",10316377,"13.28","13.53","13.79",0.1739,0.1772,0.1806,"Central"
"Africa","AGO","Angola","Huambo",10313862,"14.42","14.7","14.99",0.1599,0.1631,0.1663,"Central"
"Africa","AGO","Angola","Huila",10314789,"12.57","12.85","13.15",0.1823,0.1866,0.1908,"Central"
"Africa","AGO","Angola","Luanda",10314049,"15.14","15.37","15.62",0.1535,0.156,0.1584,"Central"
"Africa","AGO","Angola","Lunda Norte",10313200,"18.87","19.1","19.34",0.124,0.1255,0.127,"Central"
"Africa","AGO","Angola","Lunda Sul",10315276,"16.35","16.6","16.86",0.1423,0.1445,0.1467,"Central"
"Africa","AGO","Angola","Malanje",10314519,"17.14","17.33","17.52",0.1369,0.1384,0.1399,"Central"
"Africa","AGO","Angola","Moxico",10313324,"16.83","17.03","17.24",0.1391,0.1408,0.1425,"Central"
"Africa","AGO","Angola","Namibe",10313695,"13.18","13.51","13.86",0.173,0.1774,0.1819,"Central"
"Africa","AGO","Angola","Uige",10314167,"19.93","20.07","20.2",0.1187,0.1195,0.1203,"Central"
"Africa","AGO","Angola","Zaire",10313102,"12.91","13.04","13.17",0.1821,0.1839,0.1858,"Central"
"Africa","BDI","Burundi","Bubanza",10313228,"9.52","9.66","9.8",0.2446,0.2482,0.2519,"Central"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"10.08","10.28","10.48",0.2287,0.2332,0.2378,"Central"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"10.74","10.95","11.17",0.2147,0.219,0.2233,"Central"
"Africa","BDI","Burundi","Bururi",10316131,"12.89","13.22","13.57",0.1767,0.1814,0.186,"Central"
"Africa","BDI","Burundi","Cankuzo",10314159,"10.15","10.26","10.38",0.231,0.2336,0.2363,"Central"
"Africa","BDI","Burundi","Cibitoke",10316028,"9.34","9.45","9.56",0.2507,0.2538,0.2569,"Central"
"Africa","BDI","Burundi","Gitega",10315333,"10.25","10.37","10.5",0.2283,0.2311,0.234,"Central"
"Africa","BDI","Burundi","Karuzi",10315401,"10.45","10.57","10.69",0.2243,0.2269,0.2294,"Central"
"Africa","BDI","Burundi","Kayanza",10314399,"9.61","9.73","9.85",0.2436,0.2465,0.2495,"Central"
"Africa","BDI","Burundi","Kirundo",10315700,"10.59","10.7","10.82",0.2216,0.224,0.2265,"Central"
