"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"9.02","9.1","9.18",0.2613,0.2636,0.2658,"Central"
"Africa","AGO","Angola","Benguela",10312941,"10.11","10.27","10.43",0.2298,0.2334,0.2371,"Central"
"Africa","AGO","Angola","Bie",10312934,"10.16","10.24","10.32",0.2324,0.2342,0.236,"Central"
"Africa","AGO","Angola","Cabinda",10313678,"7.97","8.02","8.08",0.2968,0.2988,0.3009,"Central"
"Africa","AGO","Angola","Cuando Cubango",10314219,"8.34","8.4","8.46",0.2836,0.2856,0.2876,"Central"
"Africa","AGO","Angola","Cuanza Norte",10315857,"8.78","8.84","8.9",0.2693,0.2712,0.2732,"Central"
"Africa","AGO","Angola","Cuanza Sul",10314162,"12.87","12.97","13.08",0.1834,0.1848,0.1863,"Central"
"Africa","AGO","Angola","Cunene",10316377,"7.95","8.07","8.19",0.2928,0.2972,0.3015,"Central"
"Africa","AGO","Angola","Huambo",10313862,"8.65","8.77","8.9",0.2693,0.2733,0.2773,"Central"
"Africa","AGO","Angola","Huila",10314789,"7.6","7.73","7.87",0.3046,0.3101,0.3155,"Central"
"Africa","AGO","Angola","Luanda",10314049,"8.88","8.98","9.08",0.264,0.267,0.27,"Central"
"Africa","AGO","Angola","Lunda Norte",10313200,"11.08","11.18","11.28",0.2125,0.2145,0.2164,"Central"
"Africa","AGO","Angola","Lunda Sul",10315276,"9.96","10.08","10.2",0.2351,0.238,0.2408,"Central"
"Africa","AGO","Angola","Malanje",10314519,"8.88","8.95","9.02",0.2659,0.2679,0.2699,"Central"
"Africa","AGO","Angola","Moxico",10313324,"9.87","9.96","10.06",0.2385,0.2407,0.2428,"Central"
"Africa","AGO","Angola","Namibe",10313695,"7.98","8.15","8.33",0.2878,0.2941,0.3004,"Central"
"Africa","AGO","Angola","Uige",10314167,"10.68","10.75","10.82",0.2216,0.2231,0.2245,"Central"
"Africa","AGO","Angola","Zaire",10313102,"6.31","6.34","6.38",0.3757,0.378,0.3803,"Central"
"Africa","BDI","Burundi","Bubanza",10313228,"7.04","7.11","7.18",0.3338,0.3373,0.3408,"Central"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"7.35","7.45","7.55",0.3176,0.3219,0.3262,"Central"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"7.77","7.88","7.99",0.3001,0.3043,0.3085,"Central"
"Africa","BDI","Burundi","Bururi",10316131,"9.62","9.83","10.05",0.2386,0.2439,0.2493,"Central"
"Africa","BDI","Burundi","Cankuzo",10314159,"7.13","7.18","7.24",0.3313,0.3338,0.3363,"Central"
"Africa","BDI","Burundi","Cibitoke",10316028,"6.82","6.88","6.94",0.3456,0.3486,0.3516,"Central"
"Africa","BDI","Burundi","Gitega",10315333,"7.25","7.31","7.37",0.3253,0.3281,0.3309,"Central"
"Africa","BDI","Burundi","Karuzi",10315401,"7.11","7.16","7.21",0.3328,0.3349,0.3371,"Central"
"Africa","BDI","Burundi","Kayanza",10314399,"6.96","7.02","7.08",0.3388,0.3417,0.3447,"Central"
"Africa","BDI","Burundi","Kirundo",10315700,"7.35","7.39","7.44",0.3221,0.3243,0.3265,"Central"
"Africa","BDI","Burundi","Makamba",10314593,"7.89","7.97","8.05",0.2979,0.3009,0.3039,"Central"
"Africa","BDI","Burundi","Muramvya",10314642,"7.88","7.97","8.06",0.2973,0.3007,0.3041,"Central"
"Africa","BDI","Burundi","Muyinga",10313972,"7.38","7.43","7.48",0.3205,0.3227,0.3249,"Central"
"Africa","BDI","Burundi","Mwaro",10313210,"7.52","7.63","7.73",0.31,0.3145,0.3189,"Central"
"Africa","BDI","Burundi","Ngozi",10316098,"7.65","7.71","7.77",0.3085,0.311,0.3134,"Central"
"Africa","BDI","Burundi","Rumonge",604492674,"10.16","10.28","10.41",0.2303,0.2332,0.2361,"Central"
"Africa","BDI","Burundi","Rutana",10313213,"7.32","7.39","7.46",0.3216,0.3246,0.3275,"Central"
"Africa","BDI","Burundi","Ruyigi",10313868,"7.11","7.16","7.22",0.3322,0.3347,0.3372,"Central"
"Africa","BEN","Benin","Alibori",10315835,"33.04","33.53","34.05",0.0704,0.0715,0.0726,"Central"
"Africa","BEN","Benin","Atakora",10315483,"17.49","17.6","17.71",0.1354,0.1362,0.1371,"Central"
"Africa","BEN","Benin","Atlantique",10315599,"13.5","13.62","13.74",0.1745,0.1761,0.1776,"Central"
"Africa","BEN","Benin","Borgou",10313908,"16.45","16.57","16.69",0.1437,0.1447,0.1458,"Central"
"Africa","BEN","Benin","Collines",10312923,"10.49","10.56","10.63",0.2256,0.2271,0.2285,"Central"
"Africa","BEN","Benin","Couffo",10314689,"12.8","12.9","12.99",0.1846,0.186,0.1873,"Central"
"Africa","BEN","Benin","Donga",10316078,"9.95","10.02","10.09",0.2377,0.2394,0.241,"Central"
"Africa","BEN","Benin","Littoral",10314009,"12.36","12.48","12.61",0.1902,0.1921,0.194,"Central"
"Africa","BEN","Benin","Mono",10315943,"17.56","17.69","17.82",0.1346,0.1356,0.1366,"Central"
"Africa","BEN","Benin","Oueme",10316382,"13.71","13.84","13.98",0.1716,0.1732,0.1749,"Central"
"Africa","BEN","Benin","Plateau",10313578,"17.02","17.14","17.27",0.1389,0.1399,0.1409,"Central"
"Africa","BEN","Benin","Zou",10315228,"11.73","11.83","11.92",0.2011,0.2027,0.2044,"Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun",10315529,"11.08","11.15","11.22",0.2137,0.2151,0.2165,"Central"
"Africa","BFA","Burkina Faso","Cascades",10313590,"7.08","7.14","7.2",0.3328,0.3356,0.3385,"Central"
"Africa","BFA","Burkina Faso","Centre",10313557,"7.35","7.42","7.49",0.3201,0.3231,0.3261,"Central"
"Africa","BFA","Burkina Faso","Centre-Est",10313567,"8.9","8.97","9.05",0.2651,0.2673,0.2695,"Central"
"Africa","BFA","Burkina Faso","Centre-Nord",10313558,"7.71","7.77","7.83",0.3062,0.3086,0.311,"Central"
"Africa","BFA","Burkina Faso","Centre-Ouest",10312946,"7.97","8.03","8.09",0.2963,0.2987,0.301,"Central"
"Africa","BFA","Burkina Faso","Centre-Sud",10315008,"8.26","8.33","8.4",0.2855,0.2879,0.2904,"Central"
"Africa","BFA","Burkina Faso","Est",10313743,"7.9","7.95","8.01",0.2994,0.3015,0.3037,"Central"
"Africa","BFA","Burkina Faso","Haut-Bassins",10315770,"8.46","8.53","8.61",0.2786,0.281,0.2835,"Central"
"Africa","BFA","Burkina Faso","Nord",10313839,"7.47","7.53","7.59",0.316,0.3185,0.321,"Central"
"Africa","BFA","Burkina Faso","Plateau-Central",10313584,"7.18","7.23","7.29",0.3292,0.3316,0.3341,"Central"
"Africa","BFA","Burkina Faso","Sahel",10313146,"8.01","8.08","8.15",0.2942,0.2967,0.2993,"Central"
"Africa","BFA","Burkina Faso","Sud-Ouest",10312978,"7.55","7.61","7.67",0.3128,0.3153,0.3178,"Central"
"Africa","BWA","Botswana","Central",10314970,"9.41","9.93","10.51",0.2282,0.2415,0.2547,"Central"
"Africa","BWA","Botswana","Chobe",10316008,"9.81","10.37","10.99",0.2182,0.2312,0.2443,"Central"
"Africa","BWA","Botswana","Ghanzi",10315081,"9.9","10.46","11.09",0.2162,0.2292,0.2422,"Central"
"Africa","BWA","Botswana","Kgatleng",10316208,"9.85","10.41","11.04",0.2172,0.2303,0.2435,"Central"
"Africa","BWA","Botswana","Kweneng",10313749,"9.9","10.47","11.1",0.216,0.2291,0.2422,"Central"
"Africa","BWA","Botswana","North-East",10315541,"9.72","10.26","10.88",0.2205,0.2336,0.2468,"Central"
"Africa","BWA","Botswana","North-West",10314588,"9.67","10.21","10.82",0.2216,0.2348,0.2479,"Central"
"Africa","CAF","Central African Republic","Bamingui-Bangoran",10313901,"19.27","19.53","19.79",0.1211,0.1228,0.1244,"Central"
"Africa","CAF","Central African Republic","Bangui",10315067,"19.89","20.04","20.21",0.1187,0.1196,0.1206,"Central"
"Africa","CAF","Central African Republic","Basse-Kotto",10314955,"20.05","20.18","20.3",0.1181,0.1188,0.1196,"Central"
"Africa","CAF","Central African Republic","Haut-Mbomou",10313244,"19.74","19.93","20.11",0.1192,0.1203,0.1215,"Central"
"Africa","CAF","Central African Republic","Haute-Kotto",10315680,"20.43","20.64","20.85",0.115,0.1162,0.1173,"Central"
"Africa","CAF","Central African Republic","Kemo",10314722,"20.17","20.37","20.56",0.1166,0.1177,0.1189,"Central"
"Africa","CAF","Central African Republic","Lobaye",10314051,"19.79","19.92","20.06",0.1195,0.1204,0.1212,"Central"
"Africa","CAF","Central African Republic","Mambere-Kadei",10314279,"19.71","19.9","20.09",0.1193,0.1205,0.1216,"Central"
"Africa","CAF","Central African Republic","Mbomou",10313219,"19.73","19.92","20.1",0.1193,0.1204,0.1215,"Central"
"Africa","CAF","Central African Republic","Nana-Gribizi",10316170,"20.42","20.63","20.85",0.115,0.1162,0.1174,"Central"
"Africa","CAF","Central African Republic","Nana-Mambere",10315560,"20.63","20.83","21.04",0.114,0.1151,0.1162,"Central"
