"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+","Central"
"Africa","AGO","Angola","Benguela","40+","40+","40+","Central"
"Africa","AGO","Angola","Bie","40+","40+","40+","Central"
"Africa","AGO","Angola","Cabinda","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuando Cubango","37.9","37.7","37.6","Central"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+","Central"
"Africa","AGO","Angola","Cunene","31.2","30.6","30","Central"
"Africa","AGO","Angola","Huambo","38.8","38","37.1","Central"
"Africa","AGO","Angola","Huila","31.6","30.8","29.9","Central"
"Africa","AGO","Angola","Luanda","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+","Central"
"Africa","AGO","Angola","Lunda Sul","39.8","39.3","38.9","Central"
"Africa","AGO","Angola","Malanje","40+","40+","40+","Central"
"Africa","AGO","Angola","Moxico","33.7","33.4","33.2","Central"
"Africa","AGO","Angola","Namibe","30.8","29.8","28.9","Central"
"Africa","AGO","Angola","Uige","40+","40+","40+","Central"
"Africa","AGO","Angola","Zaire","37.5","37.4","37.2","Central"
"Africa","BDI","Burundi","Bubanza","10.4","10.3","10.2","Central"
"Africa","BDI","Burundi","Bujumbura Mairie","12.7","12.5","12.3","Central"
"Africa","BDI","Burundi","Bujumbura Rural","11.6","11.5","11.3","Central"
"Africa","BDI","Burundi","Bururi","14.5","14","13.6","Central"
"Africa","BDI","Burundi","Cankuzo","14","14","13.9","Central"
"Africa","BDI","Burundi","Cibitoke","10.6","10.5","10.4","Central"
"Africa","BDI","Burundi","Gitega","15.2","15.1","15.1","Central"
"Africa","BDI","Burundi","Karuzi","18.2","18.1","18","Central"
"Africa","BDI","Burundi","Kayanza","11.6","11.6","11.5","Central"
"Africa","BDI","Burundi","Kirundo","14.6","14.6","14.5","Central"
"Africa","BDI","Burundi","Makamba","16.7","16.5","16.4","Central"
"Africa","BDI","Burundi","Muramvya","12.8","12.6","12.5","Central"
"Africa","BDI","Burundi","Muyinga","15.4","15.4","15.3","Central"
"Africa","BDI","Burundi","Mwaro","10.5","10.4","10.2","Central"
"Africa","BDI","Burundi","Ngozi","15.1","15","14.9","Central"
"Africa","BDI","Burundi","Rumonge","17.8","17.6","17.4","Central"
"Africa","BDI","Burundi","Rutana","13.6","13.5","13.4","Central"
"Africa","BDI","Burundi","Ruyigi","14.1","14","14","Central"
"Africa","BEN","Benin","Alibori","40+","40+","40+","Central"
"Africa","BEN","Benin","Atakora","40+","40+","40+","Central"
"Africa","BEN","Benin","Atlantique","36","35.7","35.4","Central"
"Africa","BEN","Benin","Borgou","40+","40+","40+","Central"
"Africa","BEN","Benin","Collines","28.6","28.5","28.3","Central"
"Africa","BEN","Benin","Couffo","34.4","34.2","33.9","Central"
"Africa","BEN","Benin","Donga","28.8","28.7","28.5","Central"
"Africa","BEN","Benin","Littoral","35.1","34.8","34.4","Central"
"Africa","BEN","Benin","Mono","40+","40+","40+","Central"
"Africa","BEN","Benin","Oueme","36.3","36","35.6","Central"
"Africa","BEN","Benin","Plateau","40+","40+","40+","Central"
"Africa","BEN","Benin","Zou","30.5","30.3","30.1","Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","33.2","33","32.8","Central"
"Africa","BFA","Burkina Faso","Cascades","18.3","18.2","18.1","Central"
"Africa","BFA","Burkina Faso","Centre","19.3","19.2","19.1","Central"
"Africa","BFA","Burkina Faso","Centre-Est","24.1","23.9","23.8","Central"
"Africa","BFA","Burkina Faso","Centre-Nord","23.1","23","22.9","Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","24.2","24.1","24","Central"
"Africa","BFA","Burkina Faso","Centre-Sud","21.6","21.4","21.3","Central"
"Africa","BFA","Burkina Faso","Est","22.5","22.4","22.3","Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","22","21.9","21.7","Central"
"Africa","BFA","Burkina Faso","Nord","23.3","23.2","23.1","Central"
"Africa","BFA","Burkina Faso","Plateau-Central","20.5","20.4","20.3","Central"
"Africa","BFA","Burkina Faso","Sahel","23","22.8","22.7","Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","19.4","19.3","19.2","Central"
