"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo","20.2","20","19.8",0.2795,0.2818,0.2842,"Central"
"Africa","AGO","Angola","Benguela","23.2","22.9","22.6",0.2495,0.2532,0.2569,"Central"
"Africa","AGO","Angola","Bie","21","20.9","20.7",0.2512,0.2531,0.255,"Central"
"Africa","AGO","Angola","Cabinda","17.2","17.1","17",0.3155,0.3178,0.32,"Central"
"Africa","AGO","Angola","Cuando Cubango","14.7","14.6","14.5",0.3058,0.3081,0.3104,"Central"
"Africa","AGO","Angola","Cuanza Norte","20.1","20","19.8",0.2918,0.2939,0.296,"Central"
"Africa","AGO","Angola","Cuanza Sul","29.6","29.4","29.2",0.206,0.2075,0.2091,"Central"
"Africa","AGO","Angola","Cunene","15.9","15.7","15.4",0.3083,0.3127,0.3172,"Central"
"Africa","AGO","Angola","Huambo","19.1","18.8","18.6",0.2851,0.2891,0.2932,"Central"
"Africa","AGO","Angola","Huila","16.6","16.3","16",0.32,0.3255,0.331,"Central"
"Africa","AGO","Angola","Luanda","21.3","21.1","20.9",0.285,0.288,0.2911,"Central"
"Africa","AGO","Angola","Lunda Norte","21","20.8","20.6",0.2302,0.2323,0.2343,"Central"
"Africa","AGO","Angola","Lunda Sul","18.2","18","17.8",0.2516,0.2545,0.2574,"Central"
"Africa","AGO","Angola","Malanje","19.9","19.7","19.6",0.2856,0.2878,0.2899,"Central"
"Africa","AGO","Angola","Moxico","14.7","14.6","14.4",0.2589,0.2612,0.2635,"Central"
"Africa","AGO","Angola","Namibe","16.4","16","15.7",0.3032,0.3096,0.316,"Central"
"Africa","AGO","Angola","Uige","24.2","24","23.9",0.2444,0.246,0.2476,"Central"
"Africa","AGO","Angola","Zaire","12.7","12.6","12.6",0.3934,0.3958,0.3981,"Central"
"Africa","BDI","Burundi","Bubanza","5.4","5.4","5.3",0.338,0.3413,0.3446,"Central"
"Africa","BDI","Burundi","Bujumbura Mairie","7.3","7.2","7.1",0.3223,0.3267,0.3311,"Central"
"Africa","BDI","Burundi","Bujumbura Rural","6.7","6.7","6.6",0.3026,0.3067,0.3108,"Central"
"Africa","BDI","Burundi","Bururi","9.4","9.2","9",0.2392,0.2445,0.2498,"Central"
"Africa","BDI","Burundi","Cankuzo","6.1","6.1","6",0.337,0.3394,0.3419,"Central"
"Africa","BDI","Burundi","Cibitoke","4.9","4.9","4.8",0.3504,0.3532,0.3561,"Central"
"Africa","BDI","Burundi","Gitega","7.1","7.1","7",0.3293,0.3321,0.335,"Central"
"Africa","BDI","Burundi","Karuzi","7.2","7.1","7.1",0.3384,0.3406,0.3427,"Central"
"Africa","BDI","Burundi","Kayanza","5.4","5.4","5.3",0.343,0.3458,0.3486,"Central"
"Africa","BDI","Burundi","Kirundo","6.2","6.2","6.1",0.3286,0.3306,0.3327,"Central"
"Africa","BDI","Burundi","Makamba","8.3","8.2","8.1",0.3023,0.3053,0.3083,"Central"
"Africa","BDI","Burundi","Muramvya","6.9","6.8","6.7",0.3002,0.3035,0.3068,"Central"
"Africa","BDI","Burundi","Muyinga","6.4","6.4","6.3",0.3275,0.3296,0.3317,"Central"
"Africa","BDI","Burundi","Mwaro","6.3","6.2","6.1",0.313,0.3173,0.3215,"Central"
"Africa","BDI","Burundi","Ngozi","6.8","6.7","6.7",0.3147,0.3171,0.3195,"Central"
"Africa","BDI","Burundi","Rumonge","10.3","10.2","10.1",0.232,0.2349,0.2378,"Central"
"Africa","BDI","Burundi","Rutana","6.4","6.4","6.3",0.3258,0.3287,0.3315,"Central"
"Africa","BDI","Burundi","Ruyigi","6.1","6.1","6",0.3384,0.3408,0.3432,"Central"
"Africa","BEN","Benin","Alibori","39.2","38.8","38.5",0.0951,0.0962,0.0974,"Central"
"Africa","BEN","Benin","Atakora","26.2","26.1","25.9",0.159,0.1599,0.1608,"Central"
"Africa","BEN","Benin","Atlantique","18.9","18.8","18.6",0.1946,0.1962,0.1979,"Central"
"Africa","BEN","Benin","Borgou","24.1","23.9","23.8",0.1654,0.1665,0.1676,"Central"
"Africa","BEN","Benin","Collines","13.8","13.7","13.6",0.2467,0.2482,0.2496,"Central"
"Africa","BEN","Benin","Couffo","17.3","17.1","17",0.2055,0.2069,0.2083,"Central"
"Africa","BEN","Benin","Donga","13.5","13.4","13.3",0.2589,0.2605,0.2622,"Central"
"Africa","BEN","Benin","Littoral","18","17.8","17.6",0.2096,0.2115,0.2135,"Central"
"Africa","BEN","Benin","Mono","24.6","24.4","24.3",0.1557,0.1568,0.1578,"Central"
"Africa","BEN","Benin","Oueme","19","18.8","18.7",0.1911,0.1928,0.1945,"Central"
"Africa","BEN","Benin","Plateau","23.6","23.5","23.3",0.1602,0.1612,0.1623,"Central"
"Africa","BEN","Benin","Zou","15.3","15.2","15.1",0.2213,0.2229,0.2245,"Central"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","15.4","15.3","15.2",0.2361,0.2376,0.2391,"Central"
"Africa","BFA","Burkina Faso","Cascades","8.2","8.1","8.1",0.3423,0.3451,0.348,"Central"
"Africa","BFA","Burkina Faso","Centre","8.9","8.8","8.7",0.3395,0.3424,0.3454,"Central"
"Africa","BFA","Burkina Faso","Centre-Est","11.3","11.2","11.1",0.2856,0.2878,0.29,"Central"
"Africa","BFA","Burkina Faso","Centre-Nord","9.8","9.8","9.7",0.3284,0.3309,0.3333,"Central"
"Africa","BFA","Burkina Faso","Centre-Ouest","10.5","10.4","10.3",0.3186,0.3211,0.3235,"Central"
"Africa","BFA","Burkina Faso","Centre-Sud","10.1","10","9.9",0.3053,0.3078,0.3102,"Central"
"Africa","BFA","Burkina Faso","Est","9.5","9.4","9.4",0.3215,0.3237,0.3259,"Central"
"Africa","BFA","Burkina Faso","Haut-Bassins","10.3","10.2","10.2",0.2981,0.3006,0.303,"Central"
"Africa","BFA","Burkina Faso","Nord","9.9","9.9","9.8",0.3386,0.3411,0.3437,"Central"
"Africa","BFA","Burkina Faso","Plateau-Central","8.5","8.5","8.4",0.3506,0.3531,0.3556,"Central"
"Africa","BFA","Burkina Faso","Sahel","10.4","10.3","10.2",0.3159,0.3185,0.3211,"Central"
"Africa","BFA","Burkina Faso","Sud-Ouest","8.6","8.5","8.4",0.3235,0.326,0.3285,"Central"
"Africa","BWA","Botswana","Central","33.9","32","30.3",0.232,0.2456,0.2592,"Central"
"Africa","BWA","Botswana","Chobe","19.2","18.4","17.8",0.222,0.2354,0.2488,"Central"
"Africa","BWA","Botswana","Ghanzi","34.1","32.2","30.4",0.2197,0.233,0.2463,"Central"
"Africa","BWA","Botswana","Kgatleng","35.8","33.7","31.9",0.2214,0.2349,0.2484,"Central"
"Africa","BWA","Botswana","Kweneng","35.9","33.8","32",0.2202,0.2336,0.2471,"Central"
"Africa","BWA","Botswana","North-East","36","33.9","32.1",0.2249,0.2385,0.252,"Central"
