"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"20.15","20.28","20.42",0.1174,0.1182,0.119,"Optimistic"
"Africa","AGO","Angola","Benguela",10312941,"19.29","19.53","19.77",0.1213,0.1228,0.1243,"Optimistic"
"Africa","AGO","Angola","Bie",10312934,"24.71","24.82","24.94",0.0961,0.0966,0.097,"Optimistic"
"Africa","AGO","Angola","Cabinda",10313678,"21.08","21.16","21.25",0.1128,0.1133,0.1138,"Optimistic"
"Africa","AGO","Angola","Cuando Cubango",10314219,"21.08","21.17","21.26",0.1128,0.1133,0.1137,"Optimistic"
"Africa","AGO","Angola","Cuanza Norte",10315857,"24.95","25.06","25.17",0.0953,0.0957,0.0961,"Optimistic"
"Africa","AGO","Angola","Cuanza Sul",10314162,"27.87","28","28.13",0.0852,0.0856,0.086,"Optimistic"
"Africa","AGO","Angola","Cunene",10316377,"15.62","15.87","16.12",0.1488,0.1511,0.1535,"Optimistic"
"Africa","AGO","Angola","Huambo",10313862,"16.94","17.15","17.37",0.1381,0.1398,0.1416,"Optimistic"
"Africa","AGO","Angola","Huila",10314789,"14.7","14.93","15.16",0.1582,0.1606,0.1631,"Optimistic"
"Africa","AGO","Angola","Luanda",10314049,"18.29","18.49","18.69",0.1283,0.1297,0.1311,"Optimistic"
"Africa","AGO","Angola","Lunda Norte",10313200,"23.99","24.1","24.22",0.099,0.0995,0.0999,"Optimistic"
"Africa","AGO","Angola","Lunda Sul",10315276,"19.91","20.14","20.37",0.1177,0.1191,0.1204,"Optimistic"
"Africa","AGO","Angola","Malanje",10314519,"25.08","25.2","25.31",0.0947,0.0952,0.0956,"Optimistic"
"Africa","AGO","Angola","Moxico",10313324,"20.99","21.13","21.27",0.1127,0.1135,0.1142,"Optimistic"
"Africa","AGO","Angola","Namibe",10313695,"15.48","15.75","16.04",0.1495,0.1522,0.1549,"Optimistic"
"Africa","AGO","Angola","Uige",10314167,"28.6","28.72","28.84",0.0831,0.0835,0.0838,"Optimistic"
"Africa","AGO","Angola","Zaire",10313102,"18.22","18.29","18.37",0.1306,0.1311,0.1316,"Optimistic"
"Africa","BDI","Burundi","Bubanza",10313228,"11.04","11.18","11.33",0.2116,0.2144,0.2172,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"11.27","11.45","11.63",0.2062,0.2095,0.2127,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"12.38","12.58","12.79",0.1875,0.1906,0.1936,"Optimistic"
"Africa","BDI","Burundi","Bururi",10316131,"14.23","14.55","14.88",0.1612,0.1648,0.1685,"Optimistic"
"Africa","BDI","Burundi","Cankuzo",10314159,"12.57","12.71","12.85",0.1866,0.1887,0.1908,"Optimistic"
"Africa","BDI","Burundi","Cibitoke",10316028,"11.38","11.51","11.64",0.2061,0.2084,0.2107,"Optimistic"
"Africa","BDI","Burundi","Gitega",10315333,"11.96","12.1","12.25",0.1957,0.1981,0.2006,"Optimistic"
"Africa","BDI","Burundi","Karuzi",10315401,"12.92","13.04","13.15",0.1823,0.1839,0.1856,"Optimistic"
"Africa","BDI","Burundi","Kayanza",10314399,"11.28","11.41","11.55",0.2076,0.2101,0.2126,"Optimistic"
"Africa","BDI","Burundi","Kirundo",10315700,"12.98","13.12","13.27",0.1806,0.1827,0.1847,"Optimistic"
"Africa","BDI","Burundi","Makamba",10314593,"13.03","13.2","13.37",0.1793,0.1817,0.184,"Optimistic"
"Africa","BDI","Burundi","Muramvya",10314642,"12.64","12.81","13",0.1845,0.1871,0.1898,"Optimistic"
"Africa","BDI","Burundi","Muyinga",10313972,"13.56","13.69","13.82",0.1735,0.1752,0.1769,"Optimistic"
"Africa","BDI","Burundi","Mwaro",10313210,"11.43","11.62","11.81",0.203,0.2064,0.2097,"Optimistic"
"Africa","BDI","Burundi","Ngozi",10316098,"12.83","12.98","13.13",0.1826,0.1848,0.1869,"Optimistic"
"Africa","BDI","Burundi","Rumonge",604492674,"15.82","16.05","16.29",0.1472,0.1494,0.1516,"Optimistic"
"Africa","BDI","Burundi","Rutana",10313213,"12.51","12.66","12.81",0.1873,0.1895,0.1917,"Optimistic"
"Africa","BDI","Burundi","Ruyigi",10313868,"12.14","12.27","12.41",0.1932,0.1954,0.1975,"Optimistic"
"Africa","BEN","Benin","Alibori",10315835,"33.63","34.15","34.68",0.0691,0.0702,0.0713,"Optimistic"
"Africa","BEN","Benin","Atakora",10315483,"29.37","29.51","29.65",0.0809,0.0813,0.0816,"Optimistic"
"Africa","BEN","Benin","Atlantique",10315599,"20.63","20.83","21.03",0.114,0.1151,0.1162,"Optimistic"
"Africa","BEN","Benin","Borgou",10313908,"24.04","24.2","24.37",0.0984,0.0991,0.0997,"Optimistic"
"Africa","BEN","Benin","Collines",10312923,"19.87","19.95","20.04",0.1197,0.1202,0.1207,"Optimistic"
"Africa","BEN","Benin","Couffo",10314689,"21.59","21.69","21.79",0.11,0.1105,0.111,"Optimistic"
"Africa","BEN","Benin","Donga",10316078,"18.3","18.39","18.48",0.1298,0.1304,0.131,"Optimistic"
"Africa","BEN","Benin","Littoral",10314009,"19.09","19.27","19.46",0.1232,0.1244,0.1256,"Optimistic"
"Africa","BEN","Benin","Mono",10315943,"24.44","24.71","24.98",0.096,0.097,0.0981,"Optimistic"
"Africa","BEN","Benin","Oueme",10316382,"20.66","20.87","21.08",0.1138,0.1149,0.1161,"Optimistic"
"Africa","BEN","Benin","Plateau",10313578,"24.09","24.25","24.42",0.0982,0.0989,0.0996,"Optimistic"
"Africa","BEN","Benin","Zou",10315228,"18.49","18.68","18.88",0.127,0.1284,0.1297,"Optimistic"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun",10315529,"20.38","20.47","20.56",0.1166,0.1171,0.1177,"Optimistic"
"Africa","BFA","Burkina Faso","Cascades",10313590,"13.03","13.15","13.27",0.1807,0.1824,0.184,"Optimistic"
"Africa","BFA","Burkina Faso","Centre",10313557,"14.14","14.27","14.41",0.1664,0.168,0.1696,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Est",10313567,"15.46","15.62","15.79",0.1519,0.1535,0.1551,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Nord",10313558,"15.65","15.71","15.76",0.1521,0.1527,0.1532,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Ouest",10312946,"16.06","16.12","16.18",0.1482,0.1488,0.1493,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Sud",10315008,"14.54","14.71","14.88",0.1612,0.163,0.1649,"Optimistic"
"Africa","BFA","Burkina Faso","Est",10313743,"15.79","15.85","15.9",0.1508,0.1513,0.1519,"Optimistic"
"Africa","BFA","Burkina Faso","Haut-Bassins",10315770,"14.92","15.08","15.24",0.1573,0.159,0.1607,"Optimistic"
"Africa","BFA","Burkina Faso","Nord",10313839,"15.01","15.06","15.12",0.1586,0.1592,0.1598,"Optimistic"
"Africa","BFA","Burkina Faso","Plateau-Central",10313584,"14.75","14.8","14.85",0.1614,0.162,0.1626,"Optimistic"
"Africa","BFA","Burkina Faso","Sahel",10313146,"15.53","15.63","15.73",0.1524,0.1534,0.1544,"Optimistic"
"Africa","BFA","Burkina Faso","Sud-Ouest",10312978,"12.79","12.93","13.08",0.1834,0.1854,0.1874,"Optimistic"
"Africa","BWA","Botswana","Central",10314970,"13.21","14.63","16.39",0.1463,0.1639,0.1815,"Optimistic"
"Africa","BWA","Botswana","Chobe",10316008,"13.81","15.2","16.9",0.1419,0.1578,0.1736,"Optimistic"
"Africa","BWA","Botswana","Ghanzi",10315081,"14.27","15.29","16.47",0.1456,0.1568,0.1681,"Optimistic"
"Africa","BWA","Botswana","Kgatleng",10316208,"13.53","15.25","17.47",0.1372,0.1572,0.1773,"Optimistic"
"Africa","BWA","Botswana","Kweneng",10313749,"13.71","15.53","17.9",0.134,0.1544,0.1749,"Optimistic"
"Africa","BWA","Botswana","North-East",10315541,"13.5","15.04","16.96",0.1414,0.1595,0.1776,"Optimistic"
"Africa","BWA","Botswana","North-West",10314588,"13.74","14.97","16.44",0.1458,0.1602,0.1745,"Optimistic"
"Africa","CAF","Central African Republic","Bamingui-Bangoran",10313901,"27.52","27.87","28.22",0.085,0.086,0.0871,"Optimistic"
"Africa","CAF","Central African Republic","Bangui",10315067,"36.45","36.64","36.83",0.0651,0.0655,0.0658,"Optimistic"
"Africa","CAF","Central African Republic","Basse-Kotto",10314955,"34.58","34.76","34.94",0.0686,0.069,0.0693,"Optimistic"
"Africa","CAF","Central African Republic","Haut-Mbomou",10313244,"33.41","33.61","33.82",0.0709,0.0713,0.0718,"Optimistic"
"Africa","CAF","Central African Republic","Haute-Kotto",10315680,"28.56","28.78","29.01",0.0827,0.0833,0.084,"Optimistic"
"Africa","CAF","Central African Republic","Kemo",10314722,"35.37","35.56","35.74",0.0671,0.0674,0.0678,"Optimistic"
"Africa","CAF","Central African Republic","Lobaye",10314051,"35.13","35.31","35.49",0.0676,0.0679,0.0683,"Optimistic"
"Africa","CAF","Central African Republic","Mambere-Kadei",10314279,"31.97","32.16","32.36",0.0741,0.0745,0.075,"Optimistic"
"Africa","CAF","Central African Republic","Mbomou",10313219,"29.19","29.35","29.52",0.0812,0.0817,0.0822,"Optimistic"
"Africa","CAF","Central African Republic","Nana-Gribizi",10316170,"34.73","34.91","35.09",0.0683,0.0687,0.0691,"Optimistic"
"Africa","CAF","Central African Republic","Nana-Mambere",10315560,"34.59","34.77","34.95",0.0686,0.069,0.0693,"Optimistic"
"Africa","CAF","Central African Republic","Ombella M'Poko",10313441,"35.65","35.83","36.01",0.0666,0.0669,0.0673,"Optimistic"
"Africa","CAF","Central African Republic","Ouaka",10313758,"34.14","34.32","34.5",0.0695,0.0699,0.0702,"Optimistic"
"Africa","CAF","Central African Republic","Ouham",10314686,"33.05","33.26","33.46",0.0717,0.0721,0.0725,"Optimistic"
"Africa","CAF","Central African Republic","Ouham Pende",10313359,"30.74","30.92","31.11",0.0771,0.0775,0.078,"Optimistic"
"Africa","CAF","Central African Republic","Sangha-Mbaere",10312914,"32.49","32.69","32.89",0.0729,0.0734,0.0738,"Optimistic"
"Africa","CAF","Central African Republic","Vakaga",10313418,"28.22","28.59","28.97",0.0828,0.0839,0.085,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Abidjan",10316181,"23.97","24.14","24.31",0.0986,0.0993,0.1,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra",10313698,"31.61","31.77","31.92",0.0751,0.0755,0.0758,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Comoe",10314932,"28.94","29.18","29.43",0.0815,0.0822,0.0829,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Denguele",10314504,"25.18","25.36","25.55",0.0939,0.0945,0.0952,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua",10314814,"25.85","25.98","26.11",0.0918,0.0923,0.0928,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Lacs",10315209,"40+","40+","40+",0.0552,0.0556,0.0559,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Lagunes",10315887,"25.57","25.7","25.83",0.0928,0.0933,0.0938,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Montagnes",10314302,"25.21","25.34","25.47",0.0942,0.0946,0.0951,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue",10316005,"29.09","29.21","29.34",0.0817,0.0821,0.0824,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Savanes",10315042,"22.83","22.99","23.15",0.1036,0.1043,0.105,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama",10315472,"36.05","36.24","36.43",0.0658,0.0662,0.0665,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Woroba",10314018,"29.2","29.33","29.46",0.0814,0.0818,0.0821,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro",10314379,"40+","40+","40+",0.0562,0.0565,0.0569,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Zanzan",10316245,"29.97","30.43","30.91",0.0776,0.0788,0.08,"Optimistic"
