"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"10.56","10.62","10.69",0.2243,0.2257,0.2272,"Optimistic"
"Africa","AGO","Angola","Benguela",10312941,"11.46","11.57","11.68",0.2053,0.2072,0.2092,"Optimistic"
"Africa","AGO","Angola","Bie",10312934,"13.35","13.43","13.51",0.1775,0.1786,0.1796,"Optimistic"
"Africa","AGO","Angola","Cabinda",10313678,"10.52","10.58","10.64",0.2253,0.2266,0.2278,"Optimistic"
"Africa","AGO","Angola","Cuando Cubango",10314219,"10.56","10.62","10.68",0.2244,0.2257,0.227,"Optimistic"
"Africa","AGO","Angola","Cuanza Norte",10315857,"12.78","12.84","12.89",0.186,0.1868,0.1876,"Optimistic"
"Africa","AGO","Angola","Cuanza Sul",10314162,"17.1","17.2","17.31",0.1385,0.1394,0.1403,"Optimistic"
"Africa","AGO","Angola","Cunene",10316377,"9.03","9.12","9.21",0.2605,0.263,0.2655,"Optimistic"
"Africa","AGO","Angola","Huambo",10313862,"10.02","10.12","10.23",0.2345,0.2368,0.2392,"Optimistic"
"Africa","AGO","Angola","Huila",10314789,"8.5","8.59","8.68",0.2762,0.2792,0.2822,"Optimistic"
"Africa","AGO","Angola","Luanda",10314049,"10.21","10.29","10.36",0.2315,0.2331,0.2348,"Optimistic"
"Africa","AGO","Angola","Lunda Norte",10313200,"12.97","13.05","13.13",0.1826,0.1837,0.1849,"Optimistic"
"Africa","AGO","Angola","Lunda Sul",10315276,"11.09","11.17","11.26",0.213,0.2146,0.2163,"Optimistic"
"Africa","AGO","Angola","Malanje",10314519,"12.8","12.86","12.91",0.1857,0.1865,0.1873,"Optimistic"
"Africa","AGO","Angola","Moxico",10313324,"11.18","11.25","11.32",0.2119,0.2132,0.2145,"Optimistic"
"Africa","AGO","Angola","Namibe",10313695,"9.18","9.3","9.43",0.2542,0.2577,0.2612,"Optimistic"
"Africa","AGO","Angola","Uige",10314167,"16","16.07","16.15",0.1485,0.1492,0.1499,"Optimistic"
"Africa","AGO","Angola","Zaire",10313102,"8.54","8.58","8.62",0.278,0.2793,0.2806,"Optimistic"
"Africa","BDI","Burundi","Bubanza",10313228,"7.72","7.79","7.86",0.3049,0.3078,0.3107,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"8","8.09","8.18",0.293,0.2963,0.2996,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"8.6","8.68","8.76",0.2738,0.2763,0.2789,"Optimistic"
"Africa","BDI","Burundi","Bururi",10316131,"10.51","10.68","10.86",0.2208,0.2245,0.2282,"Optimistic"
"Africa","BDI","Burundi","Cankuzo",10314159,"8.13","8.18","8.24",0.291,0.293,0.2951,"Optimistic"
"Africa","BDI","Burundi","Cibitoke",10316028,"7.61","7.66","7.71",0.311,0.3131,0.3153,"Optimistic"
"Africa","BDI","Burundi","Gitega",10315333,"8","8.06","8.12",0.2953,0.2976,0.2999,"Optimistic"
"Africa","BDI","Burundi","Karuzi",10315401,"8.81","8.87","8.93",0.2684,0.2703,0.2721,"Optimistic"
"Africa","BDI","Burundi","Kayanza",10314399,"7.67","7.73","7.79",0.3078,0.3102,0.3126,"Optimistic"
"Africa","BDI","Burundi","Kirundo",10315700,"8.32","8.38","8.44",0.284,0.286,0.2881,"Optimistic"
"Africa","BDI","Burundi","Makamba",10314593,"8.74","8.8","8.87",0.2704,0.2724,0.2744,"Optimistic"
"Africa","BDI","Burundi","Muramvya",10314642,"8.63","8.71","8.79",0.2729,0.2753,0.2777,"Optimistic"
"Africa","BDI","Burundi","Muyinga",10313972,"9.05","9.12","9.18",0.2611,0.263,0.2648,"Optimistic"
"Africa","BDI","Burundi","Mwaro",10313210,"8.17","8.27","8.37",0.2866,0.2901,0.2935,"Optimistic"
"Africa","BDI","Burundi","Ngozi",10316098,"8.44","8.5","8.56",0.2801,0.2821,0.2841,"Optimistic"
"Africa","BDI","Burundi","Rumonge",604492674,"11.17","11.27","11.38",0.2107,0.2127,0.2147,"Optimistic"
"Africa","BDI","Burundi","Rutana",10313213,"8.27","8.33","8.39",0.2859,0.288,0.29,"Optimistic"
"Africa","BDI","Burundi","Ruyigi",10313868,"8.01","8.07","8.13",0.2951,0.2972,0.2993,"Optimistic"
"Africa","BEN","Benin","Alibori",10315835,"32.72","32.99","33.27",0.0721,0.0727,0.0733,"Optimistic"
"Africa","BEN","Benin","Atakora",10315483,"23.29","23.38","23.47",0.1022,0.1026,0.1029,"Optimistic"
"Africa","BEN","Benin","Atlantique",10315599,"15.02","15.11","15.2",0.1577,0.1587,0.1597,"Optimistic"
"Africa","BEN","Benin","Borgou",10313908,"18.16","18.25","18.33",0.1308,0.1314,0.132,"Optimistic"
"Africa","BEN","Benin","Collines",10312923,"13.99","14.08","14.17",0.1692,0.1703,0.1714,"Optimistic"
"Africa","BEN","Benin","Couffo",10314689,"14.65","14.74","14.82",0.1618,0.1627,0.1636,"Optimistic"
"Africa","BEN","Benin","Donga",10316078,"11.91","11.98","12.05",0.1989,0.2001,0.2013,"Optimistic"
"Africa","BEN","Benin","Littoral",10314009,"13.92","14.01","14.09",0.1701,0.1712,0.1723,"Optimistic"
"Africa","BEN","Benin","Mono",10315943,"18.66","18.75","18.84",0.1273,0.1279,0.1285,"Optimistic"
