"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo","40+","40+","40+",0.0996,0.1,0.1004,"Optimistic"
"Africa","AGO","Angola","Benguela","40+","40+","40+",0.0969,0.0977,0.0985,"Optimistic"
"Africa","AGO","Angola","Bie","40+","40+","40+",0.0938,0.0942,0.0945,"Optimistic"
"Africa","AGO","Angola","Cabinda","40+","40+","40+",0.0994,0.0997,0.1,"Optimistic"
"Africa","AGO","Angola","Cuando Cubango","40+","40+","40+",0.1002,0.1006,0.1009,"Optimistic"
"Africa","AGO","Angola","Cuanza Norte","40+","40+","40+",0.089,0.0893,0.0896,"Optimistic"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+",0.0795,0.0798,0.0802,"Optimistic"
"Africa","AGO","Angola","Cunene","40","39.6","39.2",0.1222,0.1235,0.1247,"Optimistic"
"Africa","AGO","Angola","Huambo","40+","40+","40+",0.1117,0.1126,0.1135,"Optimistic"
"Africa","AGO","Angola","Huila","39.1","38.7","38.3",0.1354,0.1368,0.1383,"Optimistic"
"Africa","AGO","Angola","Luanda","40+","40+","40+",0.1048,0.1053,0.1059,"Optimistic"
"Africa","AGO","Angola","Lunda Norte","40+","40+","40+",0.086,0.0864,0.0868,"Optimistic"
"Africa","AGO","Angola","Lunda Sul","40+","40+","40+",0.1015,0.102,0.1026,"Optimistic"
"Africa","AGO","Angola","Malanje","40+","40+","40+",0.0892,0.0894,0.0897,"Optimistic"
"Africa","AGO","Angola","Moxico","38.2","38.1","37.9",0.0994,0.0998,0.1002,"Optimistic"
"Africa","AGO","Angola","Namibe","39.1","38.4","37.8",0.1267,0.1288,0.1309,"Optimistic"
"Africa","AGO","Angola","Uige","40+","40+","40+",0.0778,0.0781,0.0783,"Optimistic"
"Africa","AGO","Angola","Zaire","40+","40+","40+",0.1052,0.1055,0.1058,"Optimistic"
"Africa","BDI","Burundi","Bubanza","12.3","12.2","12.1",0.1491,0.15,0.151,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","14.8","14.6","14.5",0.1583,0.1599,0.1614,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural","14.1","14","13.8",0.1441,0.1455,0.1469,"Optimistic"
"Africa","BDI","Burundi","Bururi","16","15.6","15.2",0.1408,0.1446,0.1485,"Optimistic"
"Africa","BDI","Burundi","Cankuzo","16.8","16.7","16.7",0.1226,0.123,0.1234,"Optimistic"
"Africa","BDI","Burundi","Cibitoke","12.8","12.8","12.7",0.1338,0.1343,0.1348,"Optimistic"
"Africa","BDI","Burundi","Gitega","17.5","17.5","17.4",0.1332,0.1338,0.1344,"Optimistic"
"Africa","BDI","Burundi","Karuzi","20.7","20.7","20.6",0.1166,0.1169,0.1173,"Optimistic"
"Africa","BDI","Burundi","Kayanza","13.4","13.4","13.3",0.1381,0.1387,0.1393,"Optimistic"
"Africa","BDI","Burundi","Kirundo","16.8","16.8","16.7",0.1206,0.121,0.1214,"Optimistic"
"Africa","BDI","Burundi","Makamba","19.3","19.2","19.1",0.1292,0.1298,0.1305,"Optimistic"
"Africa","BDI","Burundi","Muramvya","15.2","15.1","15",0.1358,0.1367,0.1377,"Optimistic"
"Africa","BDI","Burundi","Muyinga","17.9","17.9","17.8",0.1168,0.1171,0.1175,"Optimistic"
"Africa","BDI","Burundi","Mwaro","12.2","12.1","11.9",0.1596,0.1615,0.1633,"Optimistic"
"Africa","BDI","Burundi","Ngozi","16.7","16.7","16.6",0.127,0.1275,0.128,"Optimistic"
"Africa","BDI","Burundi","Rumonge","21.1","20.9","20.7",0.1132,0.1141,0.1151,"Optimistic"
"Africa","BDI","Burundi","Rutana","16.1","16","16",0.1292,0.1298,0.1303,"Optimistic"
"Africa","BDI","Burundi","Ruyigi","16.5","16.5","16.4",0.1243,0.1248,0.1252,"Optimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+",0.0646,0.0653,0.0659,"Optimistic"
"Africa","BEN","Benin","Atakora","40+","40+","40+",0.0777,0.0781,0.0785,"Optimistic"
