"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo","23.3","23.2","23.1",0.2412,0.2427,0.2442,"Optimistic"
"Africa","AGO","Angola","Benguela","26.2","26","25.7",0.2211,0.2231,0.2251,"Optimistic"
"Africa","AGO","Angola","Bie","28.8","28.6","28.4",0.1835,0.1846,0.1857,"Optimistic"
"Africa","AGO","Angola","Cabinda","23.5","23.3","23.2",0.2312,0.2326,0.2339,"Optimistic"
"Africa","AGO","Angola","Cuando Cubango","19.2","19.1","19",0.2336,0.235,0.2364,"Optimistic"
"Africa","AGO","Angola","Cuanza Norte","30.8","30.6","30.5",0.1904,0.1912,0.1921,"Optimistic"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+",0.145,0.1459,0.1468,"Optimistic"
"Africa","AGO","Angola","Cunene","17.8","17.6","17.5",0.2753,0.2779,0.2805,"Optimistic"
"Africa","AGO","Angola","Huambo","21.7","21.5","21.3",0.25,0.2524,0.2548,"Optimistic"
"Africa","AGO","Angola","Huila","18.2","18","17.8",0.2914,0.2945,0.2975,"Optimistic"
"Africa","AGO","Angola","Luanda","24.3","24.2","24",0.2493,0.251,0.2528,"Optimistic"
"Africa","AGO","Angola","Lunda Norte","24.3","24.1","24",0.1988,0.2,0.2012,"Optimistic"
"Africa","AGO","Angola","Lunda Sul","20","19.9","19.7",0.2285,0.2301,0.2318,"Optimistic"
"Africa","AGO","Angola","Malanje","29.9","29.7","29.6",0.1899,0.1908,0.1916,"Optimistic"
"Africa","AGO","Angola","Moxico","16.6","16.5","16.4",0.2289,0.2303,0.2318,"Optimistic"
"Africa","AGO","Angola","Namibe","18.4","18.2","18",0.269,0.2725,0.2761,"Optimistic"
"Africa","AGO","Angola","Uige","38.3","38.1","37.9",0.1524,0.1531,0.1538,"Optimistic"
"Africa","AGO","Angola","Zaire","17.6","17.5","17.4",0.2836,0.2849,0.2863,"Optimistic"
"Africa","BDI","Burundi","Bubanza","5.7","5.6","5.6",0.3227,0.3256,0.3285,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","7.5","7.5","7.4",0.3114,0.3147,0.318,"Optimistic"
"Africa","BDI","Burundi","Bujumbura Rural","7","6.9","6.9",0.2914,0.2939,0.2965,"Optimistic"
"Africa","BDI","Burundi","Bururi","9.6","9.4","9.3",0.2365,0.2403,0.244,"Optimistic"
"Africa","BDI","Burundi","Cankuzo","6.6","6.6","6.5",0.3115,0.3136,0.3157,"Optimistic"
"Africa","BDI","Burundi","Cibitoke","5.2","5.2","5.2",0.3293,0.3314,0.3336,"Optimistic"
"Africa","BDI","Burundi","Gitega","7.4","7.4","7.3",0.3152,0.3175,0.3198,"Optimistic"
"Africa","BDI","Burundi","Karuzi","8.7","8.7","8.6",0.2782,0.2802,0.2822,"Optimistic"
"Africa","BDI","Burundi","Kayanza","5.7","5.7","5.6",0.3262,0.3286,0.331,"Optimistic"
"Africa","BDI","Burundi","Kirundo","6.7","6.6","6.6",0.3056,0.3076,0.3097,"Optimistic"
"Africa","BDI","Burundi","Makamba","8.6","8.6","8.5",0.2895,0.2916,0.2936,"Optimistic"
"Africa","BDI","Burundi","Muramvya","7.1","7.1","7",0.2909,0.2933,0.2958,"Optimistic"
"Africa","BDI","Burundi","Muyinga","7.8","7.7","7.7",0.2703,0.2722,0.274,"Optimistic"
"Africa","BDI","Burundi","Mwaro","6.4","6.4","6.3",0.3041,0.3075,0.311,"Optimistic"
"Africa","BDI","Burundi","Ngozi","7.1","7.1","7",0.3007,0.3027,0.3048,"Optimistic"
"Africa","BDI","Burundi","Rumonge","10.5","10.4","10.3",0.2288,0.2309,0.2329,"Optimistic"
"Africa","BDI","Burundi","Rutana","6.9","6.8","6.8",0.3048,0.3069,0.309,"Optimistic"
"Africa","BDI","Burundi","Ruyigi","6.5","6.5","6.5",0.3158,0.3179,0.32,"Optimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+",0.0947,0.0954,0.096,"Optimistic"
"Africa","BEN","Benin","Atakora","38","37.8","37.7",0.1098,0.1102,0.1107,"Optimistic"
"Africa","BEN","Benin","Atlantique","20.9","20.8","20.6",0.1764,0.1774,0.1785,"Optimistic"
"Africa","BEN","Benin","Borgou","26.5","26.4","26.3",0.1502,0.1509,0.1516,"Optimistic"
"Africa","BEN","Benin","Collines","19.3","19.2","19.1",0.1756,0.1768,0.1779,"Optimistic"
"Africa","BEN","Benin","Couffo","19.6","19.5","19.4",0.1807,0.1817,0.1827,"Optimistic"
"Africa","BEN","Benin","Donga","16.1","16","15.9",0.2174,0.2187,0.22,"Optimistic"
"Africa","BEN","Benin","Littoral","20","19.9","19.8",0.1882,0.1894,0.1905,"Optimistic"
"Africa","BEN","Benin","Mono","26.2","26.1","26",0.1462,0.1469,0.1475,"Optimistic"
"Africa","BEN","Benin","Oueme","20.9","20.7","20.6",0.1739,0.1749,0.176,"Optimistic"
"Africa","BEN","Benin","Plateau","25.5","25.4","25.2",0.1484,0.1491,0.1498,"Optimistic"
"Africa","BEN","Benin","Zou","17.1","17","16.9",0.1978,0.199,0.2002,"Optimistic"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","21","20.8","20.7",0.173,0.1741,0.1752,"Optimistic"
"Africa","BFA","Burkina Faso","Cascades","9.7","9.6","9.5",0.2903,0.2923,0.2943,"Optimistic"
"Africa","BFA","Burkina Faso","Centre","12.1","12","11.9",0.248,0.2497,0.2515,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Est","13.2","13.1","13",0.2437,0.2451,0.2466,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Nord","14.1","14.1","14",0.2282,0.2292,0.2302,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Ouest","14.7","14.6","14.6",0.2268,0.2278,0.2287,"Optimistic"
"Africa","BFA","Burkina Faso","Centre-Sud","12","11.9","11.8",0.2572,0.2587,0.2603,"Optimistic"
"Africa","BFA","Burkina Faso","Est","13.3","13.3","13.2",0.2289,0.2299,0.2309,"Optimistic"
"Africa","BFA","Burkina Faso","Haut-Bassins","12.2","12.2","12.1",0.2515,0.253,0.2545,"Optimistic"
"Africa","BFA","Burkina Faso","Nord","14.1","14","13.9",0.239,0.2402,0.2414,"Optimistic"
"Africa","BFA","Burkina Faso","Plateau-Central","12.3","12.3","12.2",0.2419,0.2432,0.2444,"Optimistic"
"Africa","BFA","Burkina Faso","Sahel","14.3","14.2","14.1",0.2291,0.2305,0.2319,"Optimistic"
"Africa","BFA","Burkina Faso","Sud-Ouest","9.5","9.4","9.3",0.2921,0.2942,0.2963,"Optimistic"
"Africa","BWA","Botswana","Central","35.8","33.8","32",0.2192,0.2325,0.2458,"Optimistic"
"Africa","BWA","Botswana","Chobe","20","19.3","18.7",0.2105,0.2224,0.2344,"Optimistic"
"Africa","BWA","Botswana","Ghanzi","35.8","33.9","32.2",0.2095,0.2211,0.2328,"Optimistic"
"Africa","BWA","Botswana","Kgatleng","37.5","35.3","33.4",0.2114,0.2243,0.2371,"Optimistic"
"Africa","BWA","Botswana","Kweneng","38.1","35.9","33.9",0.2075,0.2203,0.2332,"Optimistic"
"Africa","BWA","Botswana","North-East","37.8","35.6","33.7",0.2144,0.2274,0.2404,"Optimistic"
"Africa","BWA","Botswana","North-West","34","32.9","31.9",0.2136,0.2257,0.2379,"Optimistic"
"Africa","CAF","Central African Republic","Bamingui-Bangoran","21.2","21","20.9",0.1234,0.124,0.1247,"Optimistic"
"Africa","CAF","Central African Republic","Bangui","40+","40+","40+",0.0761,0.0764,0.0768,"Optimistic"
"Africa","CAF","Central African Republic","Basse-Kotto","33.7","33.6","33.4",0.0863,0.0867,0.0871,"Optimistic"
"Africa","CAF","Central African Republic","Haut-Mbomou","33.7","33.5","33.3",0.0886,0.0891,0.0897,"Optimistic"
"Africa","CAF","Central African Republic","Haute-Kotto","23.4","23.2","23.1",0.1212,0.1218,0.1224,"Optimistic"
"Africa","CAF","Central African Republic","Kemo","36.5","36.3","36.2",0.0824,0.0828,0.0832,"Optimistic"
"Africa","CAF","Central African Republic","Lobaye","34.7","34.6","34.4",0.0831,0.0835,0.0839,"Optimistic"
"Africa","CAF","Central African Republic","Mambere-Kadei","23.5","23.4","23.3",0.1164,0.117,0.1176,"Optimistic"
"Africa","CAF","Central African Republic","Mbomou","23.5","23.3","23.2",0.1222,0.1228,0.1234,"Optimistic"
"Africa","CAF","Central African Republic","Nana-Gribizi","36.7","36.5","36.4",0.0845,0.0849,0.0853,"Optimistic"
"Africa","CAF","Central African Republic","Nana-Mambere","35.2","35","34.9",0.0845,0.0849,0.0853,"Optimistic"
"Africa","CAF","Central African Republic","Ombella M'Poko","38.1","37.9","37.7",0.0809,0.0813,0.0817,"Optimistic"
"Africa","CAF","Central African Republic","Ouaka","35","34.8","34.7",0.0866,0.087,0.0874,"Optimistic"
"Africa","CAF","Central African Republic","Ouham","35.2","34.9","34.7",0.0879,0.0885,0.089,"Optimistic"
"Africa","CAF","Central African Republic","Ouham Pende","28.1","28","27.8",0.1145,0.1151,0.1157,"Optimistic"
"Africa","CAF","Central African Republic","Sangha-Mbaere","29.1","29","28.8",0.0876,0.0882,0.0887,"Optimistic"
"Africa","CAF","Central African Republic","Vakaga","25.5","25.4","25.3",0.1179,0.1185,0.1192,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Abidjan","29.9","29.7","29.5",0.1617,0.1628,0.1638,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Bas-Sassandra","34.3","34.1","34",0.1064,0.1069,0.1073,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Comoe","32.2","32","31.9",0.1303,0.131,0.1317,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Denguele","32","31.8","31.6",0.1514,0.1523,0.1532,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Goh-Djiboua","32.7","32.5","32.3",0.1391,0.14,0.1409,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Lacs","40+","40+","40+",0.0691,0.0695,0.0698,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Lagunes","32.8","32.6","32.3",0.1407,0.1416,0.1425,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Montagnes","26.6","26.4","26.3",0.1612,0.1622,0.1632,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Sassandra-Marahoue","39.8","39.6","39.4",0.1177,0.1183,0.1188,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Savanes","27.9","27.7","27.5",0.1715,0.1726,0.1737,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Vallee du Bandama","40+","40+","40+",0.0885,0.0889,0.0893,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Woroba","40+","40+","40+",0.1192,0.1198,0.1203,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Yamoussoukro","40+","40+","40+",0.0712,0.0716,0.0719,"Optimistic"
"Africa","CIV","Côte d'Ivoire","Zanzan","32.8","32.6","32.4",0.1175,0.1182,0.119,"Optimistic"
"Africa","CMR","Cameroon","Adamaoua","23.9","23.7","23.6",0.1624,0.1633,0.1642,"Optimistic"
"Africa","CMR","Cameroon","Centre","18.7","18.6","18.5",0.2042,0.2056,0.2069,"Optimistic"
"Africa","CMR","Cameroon","Est","34.8","34.7","34.5",0.1063,0.1068,0.1072,"Optimistic"
"Africa","CMR","Cameroon","Extreme Nord","20.4","20.2","20.1",0.2042,0.2057,0.2072,"Optimistic"
"Africa","CMR","Cameroon","Littoral","18.1","18","17.8",0.2035,0.2053,0.207,"Optimistic"
"Africa","CMR","Cameroon","Nord","17.6","17.4","17.3",0.2136,0.2149,0.2163,"Optimistic"
"Africa","CMR","Cameroon","North West","16.9","16.7","16.6",0.2061,0.2079,0.2097,"Optimistic"
"Africa","CMR","Cameroon","Ouest","12.8","12.7","12.6",0.2506,0.2527,0.2549,"Optimistic"
"Africa","CMR","Cameroon","South West","10.4","10.4","10.3",0.2831,0.2851,0.2871,"Optimistic"
"Africa","CMR","Cameroon","Sud","17.6","17.5","17.4",0.192,0.1931,0.1943,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Bas-Uele","24.8","24.7","24.6",0.1404,0.141,0.1417,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Equateur","20.4","20.2","20.1",0.1638,0.1649,0.166,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Katanga","20.8","20.7","20.6",0.1829,0.184,0.1852,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Lomami","27.1","26.9","26.8",0.1453,0.1462,0.1471,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Haut-Uele","25.4","25.3","25.2",0.1433,0.1439,0.1446,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Ituri","18.5","18.4","18.3",0.1842,0.1854,0.1866,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai","20.5","20.3","20.2",0.167,0.1682,0.1693,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Central","24.2","24","23.9",0.1571,0.1578,0.1585,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kasai Oriental","25.1","25","24.8",0.1464,0.1474,0.1484,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kinshasa","15.5","15.4","15.3",0.2489,0.2505,0.2522,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kongo Central","24.6","24.4","24.3",0.1636,0.1646,0.1657,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kwango","24.5","24.4","24.3",0.1579,0.1586,0.1594,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Kwilu","25.1","25","24.9",0.1616,0.1624,0.1633,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Lomami","27.2","27","26.9",0.1413,0.142,0.1426,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Lualaba","20.7","20.6","20.5",0.1836,0.1847,0.1859,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Mai-Ndombe","16.7","16.5","16.4",0.1987,0.1999,0.2012,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Maniema","15.7","15.6","15.5",0.2155,0.2168,0.2181,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Mongala","19.5","19.4","19.3",0.1562,0.1569,0.1577,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Kivu","12.9","12.8","12.7",0.2356,0.2381,0.2405,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Nord-Ubangi","24.3","24.1","24",0.1506,0.1513,0.152,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Sankuru","22.1","22","21.8",0.1481,0.1491,0.1501,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Kivu","15.9","15.8","15.6",0.2214,0.2235,0.2257,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Sud-Ubangi","22.5","22.4","22.3",0.1455,0.1462,0.147,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Tanganyka","20.6","20.5","20.3",0.1822,0.1833,0.1844,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Tshopo","26.3","26.1","26",0.1388,0.1394,0.1401,"Optimistic"
"Africa","COD","Democratic Republic of the Congo","Tshuapa","21.2","21.1","21",0.1436,0.1444,0.1451,"Optimistic"
"Africa","COG","Congo","Bouenza","10.5","10.4","10.3",0.2836,0.2854,0.2872,"Optimistic"
"Africa","COG","Congo","Brazzaville","13.9","13.8","13.7",0.243,0.2447,0.2463,"Optimistic"
"Africa","COG","Congo","Cuvette","6.7","6.7","6.6",0.2158,0.2172,0.2186,"Optimistic"
"Africa","COG","Congo","Cuvette-Ouest","7.2","7.2","7.2",0.2674,0.2691,0.2707,"Optimistic"
"Africa","COG","Congo","Kouilou","9.3","9.2","9.1",0.3107,0.3132,0.3156,"Optimistic"
"Africa","COG","Congo","Lekoumou","9.9","9.8","9.7",0.2726,0.2743,0.276,"Optimistic"
"Africa","COG","Congo","Likouala","4.9","4.9","4.8",0.2352,0.2365,0.2379,"Optimistic"
"Africa","COG","Congo","Niari","14.5","14.4","14.4",0.2297,0.2311,0.2325,"Optimistic"
"Africa","COG","Congo","Plateaux","9.7","9.6","9.6",0.2616,0.2637,0.2659,"Optimistic"
"Africa","COG","Congo","Point-Noire","9.9","9.8","9.8",0.3156,0.3185,0.3214,"Optimistic"
"Africa","COG","Congo","Pool","10.3","10.3","10.2",0.2786,0.2802,0.2819,"Optimistic"
"Africa","COG","Congo","Sangha","11","10.9","10.9",0.1931,0.1942,0.1954,"Optimistic"
"Africa","DJI","Djibouti","Ali Sabieh","8.9","8.7","8.5",0.3113,0.3186,0.3258,"Optimistic"
"Africa","DJI","Djibouti","Dikhil","8.7","8.4","8.2",0.3261,0.3362,0.3463,"Optimistic"
"Africa","DJI","Djibouti","Djibouti","8.5","8.1","7.7",0.3344,0.3523,0.3702,"Optimistic"
"Africa","DJI","Djibouti","Obock","10.5","10.4","10.3",0.2962,0.2983,0.3005,"Optimistic"
"Africa","DJI","Djibouti","Tadjourah","9.7","9.6","9.6",0.3062,0.3085,0.3108,"Optimistic"
"Africa","ERI","Eritrea","Anseba","13.8","13.4","13",0.2587,0.2678,0.2768,"Optimistic"
"Africa","ERI","Eritrea","Debub","13","12.6","12.3",0.285,0.294,0.3029,"Optimistic"
"Africa","ERI","Eritrea","Debubawi Keih Bahri","11.1","10.9","10.7",0.2628,0.2684,0.274,"Optimistic"
"Africa","ERI","Eritrea","Gash Barka","0","0","0",0.2466,0.2537,0.2607,"Optimistic"
"Africa","ERI","Eritrea","Maekel","13.7","13.3","12.9",0.2615,0.2716,0.2816,"Optimistic"
"Africa","ERI","Eritrea","Semenawi Keih Bahri","11.4","11","10.7",0.2877,0.2975,0.3072,"Optimistic"
"Africa","ETH","Ethiopia","Addis Ababa","13.4","12.7","12.1",0.2291,0.2417,0.2542,"Optimistic"
"Africa","ETH","Ethiopia","Afar","16.2","15.8","15.3",0.1638,0.1685,0.1733,"Optimistic"
"Africa","ETH","Ethiopia","Amhara","27.1","26.1","25.1",0.1344,0.1398,0.1451,"Optimistic"
"Africa","ETH","Ethiopia","Beneshangul Gumu","20.6","20.2","19.9",0.1631,0.1659,0.1687,"Optimistic"
"Africa","ETH","Ethiopia","Dire Dawa","15.4","15","14.5",0.1896,0.1951,0.2007,"Optimistic"
"Africa","ETH","Ethiopia","Gambela","17.2","16.9","16.7",0.1704,0.1733,0.1761,"Optimistic"
"Africa","ETH","Ethiopia","Hareri","14.3","13.9","13.5",0.1989,0.2049,0.2109,"Optimistic"
"Africa","ETH","Ethiopia","Oromia","22.5","21.7","21",0.1437,0.149,0.1543,"Optimistic"
"Africa","ETH","Ethiopia","SNNPR","19.9","19.3","18.7",0.1471,0.1517,0.1562,"Optimistic"
"Africa","ETH","Ethiopia","Somali","27.4","26.6","25.8",0.1193,0.123,0.1267,"Optimistic"
"Africa","ETH","Ethiopia","Tigray","21.5","20.9","20.4",0.1416,0.1457,0.1498,"Optimistic"
"Africa","GAB","Gabon","Estuaire","37.6","37.4","37.1",0.1483,0.1492,0.1502,"Optimistic"
"Africa","GAB","Gabon","Haut-Ogooue","25.1","25","24.8",0.1889,0.19,0.1912,"Optimistic"
"Africa","GAB","Gabon","Moyen-Ogooue","35.8","35.5","35.2",0.1927,0.1942,0.1956,"Optimistic"
"Africa","GAB","Gabon","Ngounie","34","33.8","33.6",0.1755,0.1766,0.1777,"Optimistic"
"Africa","GAB","Gabon","Nyanga","26.2","26","25.9",0.1937,0.195,0.1963,"Optimistic"
"Africa","GAB","Gabon","Ogooue-Ivindo","28.6","28.5","28.3",0.1482,0.1489,0.1496,"Optimistic"
"Africa","GAB","Gabon","Ogooue-Maritime","33.4","33.1","32.9",0.2032,0.2047,0.2061,"Optimistic"
"Africa","GAB","Gabon","Ogooue-lolo","34.7","34.5","34.3",0.1672,0.1681,0.169,"Optimistic"
"Africa","GAB","Gabon","Woleu-Ntem","32.7","32.5","32.3",0.1609,0.1618,0.1628,"Optimistic"
"Africa","GHA","Ghana","Ashanti","9","8.9","8.9",0.3547,0.3573,0.3598,"Optimistic"
"Africa","GHA","Ghana","Brong Ahafo","9.6","9.5","9.5",0.3414,0.3437,0.3459,"Optimistic"
"Africa","GHA","Ghana","Central","10.5","10.4","10.3",0.3323,0.3345,0.3368,"Optimistic"
"Africa","GHA","Ghana","Eastern","10.8","10.7","10.6",0.3187,0.3209,0.3231,"Optimistic"
"Africa","GHA","Ghana","Greater Accra","6.4","6.3","6.3",0.4189,0.4221,0.4252,"Optimistic"
"Africa","GHA","Ghana","Northern","8.5","8.4","8.4",0.3845,0.3872,0.3899,"Optimistic"
"Africa","GHA","Ghana","Upper East","9.2","9.1","9.1",0.4262,0.4299,0.4337,"Optimistic"
"Africa","GHA","Ghana","Upper West","7.9","7.8","7.7",0.4116,0.4143,0.4171,"Optimistic"
"Africa","GHA","Ghana","Volta","7.2","7.2","7.2",0.4101,0.4128,0.4155,"Optimistic"
"Africa","GHA","Ghana","Western","10.1","10.1","10",0.3299,0.3321,0.3344,"Optimistic"
