"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"13.52","13.74","13.97",0.1717,0.1745,0.1774,"Pessimistic"
"Africa","AGO","Angola","Benguela",10312941,"14.27","14.67","15.1",0.1588,0.1634,0.168,"Pessimistic"
"Africa","AGO","Angola","Bie",10312934,"15.06","15.3","15.55",0.1542,0.1567,0.1592,"Pessimistic"
"Africa","AGO","Angola","Cabinda",10313678,"11.99","12.15","12.33",0.1945,0.1973,0.2,"Pessimistic"
"Africa","AGO","Angola","Cuando Cubango",10314219,"12.97","13.11","13.25",0.181,0.1829,0.1849,"Pessimistic"
"Africa","AGO","Angola","Cuanza Norte",10315857,"13.42","13.61","13.81",0.1737,0.1762,0.1787,"Pessimistic"
"Africa","AGO","Angola","Cuanza Sul",10314162,"18.53","18.85","19.18",0.125,0.1272,0.1294,"Pessimistic"
"Africa","AGO","Angola","Cunene",10316377,"11.73","12.07","12.43",0.1929,0.1986,0.2043,"Pessimistic"
"Africa","AGO","Angola","Huambo",10313862,"12.44","12.8","13.19",0.1818,0.1873,0.1927,"Pessimistic"
"Africa","AGO","Angola","Huila",10314789,"10.77","11.14","11.54",0.2079,0.2153,0.2226,"Pessimistic"
"Africa","AGO","Angola","Luanda",10314049,"12.94","13.21","13.49",0.1778,0.1815,0.1853,"Pessimistic"
"Africa","AGO","Angola","Lunda Norte",10313200,"16.23","16.52","16.83",0.1425,0.1451,0.1478,"Pessimistic"
"Africa","AGO","Angola","Lunda Sul",10315276,"14.23","14.54","14.85",0.1615,0.165,0.1685,"Pessimistic"
"Africa","AGO","Angola","Malanje",10314519,"13.64","13.83","14.03",0.1709,0.1733,0.1758,"Pessimistic"
"Africa","AGO","Angola","Moxico",10313324,"14.46","14.74","15.03",0.1596,0.1627,0.1658,"Pessimistic"
"Africa","AGO","Angola","Namibe",10313695,"11.74","12.26","12.83",0.1869,0.1956,0.2042,"Pessimistic"
"Africa","AGO","Angola","Uige",10314167,"15.6","15.85","16.11",0.1489,0.1513,0.1537,"Pessimistic"
"Africa","AGO","Angola","Zaire",10313102,"10.19","10.32","10.45",0.2295,0.2325,0.2354,"Pessimistic"
"Africa","BDI","Burundi","Bubanza",10313228,"8.28","8.44","8.61",0.2786,0.2841,0.2897,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"8.66","8.86","9.06",0.2647,0.2708,0.2769,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"9.69","9.92","10.16",0.2361,0.2418,0.2474,"Pessimistic"
"Africa","BDI","Burundi","Bururi",10316131,"11.73","12.17","12.65",0.1896,0.197,0.2044,"Pessimistic"
"Africa","BDI","Burundi","Cankuzo",10314159,"8.5","8.62","8.74",0.2744,0.2782,0.282,"Pessimistic"
"Africa","BDI","Burundi","Cibitoke",10316028,"8","8.11","8.23",0.2915,0.2957,0.2999,"Pessimistic"
"Africa","BDI","Burundi","Gitega",10315333,"8.96","9.09","9.21",0.2602,0.2639,0.2676,"Pessimistic"
"Africa","BDI","Burundi","Karuzi",10315401,"8.55","8.65","8.75",0.2741,0.2773,0.2805,"Pessimistic"
"Africa","BDI","Burundi","Kayanza",10314399,"8.2","8.32","8.43",0.2843,0.2883,0.2924,"Pessimistic"
"Africa","BDI","Burundi","Kirundo",10315700,"9.08","9.2","9.31",0.2575,0.2607,0.264,"Pessimistic"
"Africa","BDI","Burundi","Makamba",10314593,"9.93","10.13","10.33",0.232,0.2367,0.2414,"Pessimistic"
"Africa","BDI","Burundi","Muramvya",10314642,"9.92","10.12","10.33",0.2322,0.2369,0.2417,"Pessimistic"
"Africa","BDI","Burundi","Muyinga",10313972,"8.86","8.97","9.07",0.2643,0.2674,0.2706,"Pessimistic"
"Africa","BDI","Burundi","Mwaro",10313210,"9.09","9.29","9.51",0.2521,0.258,0.2639,"Pessimistic"
