"continent","iso","admin_0","admin_1","id_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo",10315785,"8.05","8.15","8.26",0.2903,0.2941,0.298,"Pessimistic"
"Africa","AGO","Angola","Benguela",10312941,"8.72","8.94","9.16",0.2616,0.2684,0.2751,"Pessimistic"
"Africa","AGO","Angola","Bie",10312934,"8.95","9.05","9.16",0.2618,0.2648,0.2678,"Pessimistic"
"Africa","AGO","Angola","Cabinda",10313678,"7.04","7.11","7.18",0.3339,0.3373,0.3408,"Pessimistic"
"Africa","AGO","Angola","Cuando Cubango",10314219,"7.23","7.29","7.36",0.326,0.3288,0.3316,"Pessimistic"
"Africa","AGO","Angola","Cuanza Norte",10315857,"7.69","7.77","7.84",0.3058,0.3088,0.3118,"Pessimistic"
"Africa","AGO","Angola","Cuanza Sul",10314162,"11.82","12.01","12.2",0.1965,0.1997,0.2028,"Pessimistic"
"Africa","AGO","Angola","Cunene",10316377,"7.11","7.28","7.45",0.3217,0.3295,0.3374,"Pessimistic"
"Africa","AGO","Angola","Huambo",10313862,"7.65","7.84","8.04",0.2982,0.3058,0.3134,"Pessimistic"
"Africa","AGO","Angola","Huila",10314789,"6.72","6.91","7.11",0.3374,0.3472,0.3571,"Pessimistic"
"Africa","AGO","Angola","Luanda",10314049,"7.9","8.04","8.19",0.2928,0.2981,0.3034,"Pessimistic"
"Africa","AGO","Angola","Lunda Norte",10313200,"10.11","10.27","10.43",0.23,0.2335,0.2371,"Pessimistic"
"Africa","AGO","Angola","Lunda Sul",10315276,"8.74","8.9","9.06",0.2646,0.2695,0.2743,"Pessimistic"
"Africa","AGO","Angola","Malanje",10314519,"7.84","7.92","7.99",0.3,0.3029,0.3058,"Pessimistic"
"Africa","AGO","Angola","Moxico",10313324,"8.69","8.81","8.93",0.2685,0.2722,0.2759,"Pessimistic"
"Africa","AGO","Angola","Namibe",10313695,"7.22","7.47","7.74",0.3099,0.3209,0.3319,"Pessimistic"
"Africa","AGO","Angola","Uige",10314167,"9.2","9.3","9.41",0.2549,0.2577,0.2606,"Pessimistic"
"Africa","AGO","Angola","Zaire",10313102,"5.48","5.52","5.57",0.4308,0.4343,0.4379,"Pessimistic"
"Africa","BDI","Burundi","Bubanza",10313228,"6.42","6.5","6.59",0.3641,0.3689,0.3737,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Mairie",10314149,"6.74","6.85","6.97",0.3442,0.3499,0.3557,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Rural",10315892,"7.2","7.32","7.44",0.3221,0.3276,0.3332,"Pessimistic"
"Africa","BDI","Burundi","Bururi",10316131,"8.51","8.73","8.96",0.2676,0.2747,0.2817,"Pessimistic"
"Africa","BDI","Burundi","Cankuzo",10314159,"6.39","6.45","6.51",0.3681,0.3717,0.3752,"Pessimistic"
"Africa","BDI","Burundi","Cibitoke",10316028,"6.13","6.2","6.27",0.3826,0.3868,0.391,"Pessimistic"
"Africa","BDI","Burundi","Gitega",10315333,"6.7","6.77","6.83",0.3509,0.3544,0.3579,"Pessimistic"
"Africa","BDI","Burundi","Karuzi",10315401,"6.28","6.33","6.37",0.3762,0.3791,0.3819,"Pessimistic"
"Africa","BDI","Burundi","Kayanza",10314399,"6.32","6.38","6.45",0.3719,0.3756,0.3792,"Pessimistic"
"Africa","BDI","Burundi","Kirundo",10315700,"6.63","6.69","6.75",0.3554,0.3585,0.3616,"Pessimistic"
"Africa","BDI","Burundi","Makamba",10314593,"7.26","7.36","7.46",0.3214,0.3258,0.3302,"Pessimistic"
"Africa","BDI","Burundi","Muramvya",10314642,"7.28","7.38","7.49",0.3203,0.3247,0.3292,"Pessimistic"
"Africa","BDI","Burundi","Muyinga",10313972,"6.52","6.57","6.62",0.3623,0.3652,0.368,"Pessimistic"
"Africa","BDI","Burundi","Mwaro",10313210,"6.91","7.03","7.14",0.3357,0.3413,0.347,"Pessimistic"
"Africa","BDI","Burundi","Ngozi",10316098,"6.99","7.06","7.12",0.3367,0.3398,0.3429,"Pessimistic"
"Africa","BDI","Burundi","Rumonge",604492674,"9.22","9.39","9.56",0.2508,0.2554,0.2601,"Pessimistic"
"Africa","BDI","Burundi","Rutana",10313213,"6.77","6.84","6.91",0.3471,0.3507,0.3544,"Pessimistic"
"Africa","BDI","Burundi","Ruyigi",10313868,"6.4","6.45","6.5",0.3688,0.3718,0.3749,"Pessimistic"
"Africa","BEN","Benin","Alibori",10315835,"29.99","30.79","31.63",0.0758,0.0779,0.08,"Pessimistic"
"Africa","BEN","Benin","Atakora",10315483,"15.91","16.06","16.22",0.1479,0.1493,0.1507,"Pessimistic"
"Africa","BEN","Benin","Atlantique",10315599,"12.11","12.26","12.43",0.193,0.1955,0.1981,"Pessimistic"
"Africa","BEN","Benin","Borgou",10313908,"15.31","15.52","15.75",0.1523,0.1545,0.1566,"Pessimistic"
"Africa","BEN","Benin","Collines",10312923,"9.53","9.64","9.75",0.246,0.2488,0.2516,"Pessimistic"
"Africa","BEN","Benin","Couffo",10314689,"11.78","11.91","12.03",0.1993,0.2014,0.2035,"Pessimistic"
"Africa","BEN","Benin","Donga",10316078,"8.8","8.89","8.98",0.267,0.2698,0.2725,"Pessimistic"
"Africa","BEN","Benin","Littoral",10314009,"11.2","11.39","11.58",0.207,0.2106,0.2141,"Pessimistic"
"Africa","BEN","Benin","Mono",10315943,"15.75","15.96","16.18",0.1482,0.1502,0.1522,"Pessimistic"
"Africa","BEN","Benin","Oueme",10316382,"12.13","12.32","12.52",0.1916,0.1947,0.1977,"Pessimistic"
