"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo","35.9","35.4","34.9",0.1566,0.1589,0.1613,"Pessimistic"
"Africa","AGO","Angola","Benguela","39.3","37.6","36.1",0.1475,0.1541,0.1607,"Pessimistic"
"Africa","AGO","Angola","Bie","40+","40+","40+",0.1279,0.1296,0.1312,"Pessimistic"
"Africa","AGO","Angola","Cabinda","32.4","31.7","31",0.1563,0.1581,0.16,"Pessimistic"
"Africa","AGO","Angola","Cuando Cubango","29.4","29.2","28.9",0.1341,0.135,0.1358,"Pessimistic"
"Africa","AGO","Angola","Cuanza Norte","39.1","38.7","38.3",0.1499,0.1515,0.153,"Pessimistic"
"Africa","AGO","Angola","Cuanza Sul","40+","40+","40+",0.1077,0.11,0.1123,"Pessimistic"
"Africa","AGO","Angola","Cunene","27.3","25.9","24.8",0.1794,0.1885,0.1975,"Pessimistic"
"Africa","AGO","Angola","Huambo","32.1","30.7","29.4",0.1692,0.1771,0.185,"Pessimistic"
"Africa","AGO","Angola","Huila","28","26.7","25.5",0.1891,0.1987,0.2083,"Pessimistic"
"Africa","AGO","Angola","Luanda","35.7","34.9","34.1",0.1699,0.1738,0.1777,"Pessimistic"
"Africa","AGO","Angola","Lunda Norte","38.5","37.7","37",0.1253,0.1279,0.1304,"Pessimistic"
"Africa","AGO","Angola","Lunda Sul","31.1","30.4","29.6",0.147,0.1506,0.1543,"Pessimistic"
"Africa","AGO","Angola","Malanje","38.5","38.2","37.8",0.147,0.1486,0.1501,"Pessimistic"
"Africa","AGO","Angola","Moxico","27.4","26.8","26.3",0.1389,0.1416,0.1443,"Pessimistic"
"Africa","AGO","Angola","Namibe","19.9","19","18.2",0.2494,0.2612,0.2731,"Pessimistic"
"Africa","AGO","Angola","Uige","40+","40+","40+",0.1267,0.1282,0.1297,"Pessimistic"
"Africa","AGO","Angola","Zaire","24.7","24.5","24.2",0.2022,0.2039,0.2057,"Pessimistic"
"Africa","BDI","Burundi","Bubanza","8.3","8.2","8.1",0.2199,0.2234,0.2269,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","10.9","10.7","10.5",0.2157,0.22,0.2243,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Rural","10.4","10.2","10",0.196,0.1999,0.2038,"Pessimistic"
"Africa","BDI","Burundi","Bururi","13.6","13.1","12.6",0.1657,0.1725,0.1793,"Pessimistic"
"Africa","BDI","Burundi","Cankuzo","10.8","10.7","10.6",0.1911,0.1927,0.1943,"Pessimistic"
"Africa","BDI","Burundi","Cibitoke","7.6","7.6","7.5",0.2246,0.2268,0.2291,"Pessimistic"
"Africa","BDI","Burundi","Gitega","12.5","12.4","12.3",0.1871,0.1888,0.1904,"Pessimistic"
"Africa","BDI","Burundi","Karuzi","13.9","13.8","13.8",0.174,0.1748,0.1755,"Pessimistic"
"Africa","BDI","Burundi","Kayanza","9.3","9.2","9.1",0.2004,0.2025,0.2046,"Pessimistic"
"Africa","BDI","Burundi","Kirundo","12.2","12.2","12.1",0.166,0.1671,0.1682,"Pessimistic"
"Africa","BDI","Burundi","Makamba","13.3","13.1","12.8",0.188,0.1911,0.1941,"Pessimistic"
"Africa","BDI","Burundi","Muramvya","11","10.8","10.6",0.1879,0.1909,0.1939,"Pessimistic"
"Africa","BDI","Burundi","Muyinga","12.5","12.4","12.4",0.168,0.1687,0.1695,"Pessimistic"
"Africa","BDI","Burundi","Mwaro","9.5","9.3","9.1",0.2065,0.2104,0.2144,"Pessimistic"
"Africa","BDI","Burundi","Ngozi","12.3","12.2","12.1",0.1727,0.1741,0.1755,"Pessimistic"
"Africa","BDI","Burundi","Rumonge","15.1","14.8","14.4",0.158,0.1618,0.1655,"Pessimistic"
"Africa","BDI","Burundi","Rutana","11.1","10.9","10.8",0.1882,0.1904,0.1925,"Pessimistic"
"Africa","BDI","Burundi","Ruyigi","11.5","11.5","11.4",0.1784,0.1795,0.1806,"Pessimistic"
"Africa","BEN","Benin","Alibori","40+","40+","40+",0.0465,0.0502,0.0539,"Pessimistic"
"Africa","BEN","Benin","Atakora","40+","40+","40+",0.0953,0.0966,0.0978,"Pessimistic"
"Africa","BEN","Benin","Atlantique","32.6","32.1","31.6",0.1129,0.1147,0.1164,"Pessimistic"
"Africa","BEN","Benin","Borgou","40+","40+","40+",0.095,0.0966,0.0982,"Pessimistic"
"Africa","BEN","Benin","Collines","24.7","24.4","24.1",0.1376,0.1391,0.1406,"Pessimistic"
"Africa","BEN","Benin","Couffo","31.4","31","30.7",0.1128,0.1142,0.1155,"Pessimistic"
"Africa","BEN","Benin","Donga","24.7","24.4","24.2",0.1413,0.1428,0.1442,"Pessimistic"
"Africa","BEN","Benin","Littoral","31.8","30.8","29.9",0.1184,0.122,0.1256,"Pessimistic"
"Africa","BEN","Benin","Mono","40+","40+","40+",0.0922,0.0938,0.0954,"Pessimistic"
"Africa","BEN","Benin","Oueme","32.8","32.1","31.4",0.1105,0.1131,0.1157,"Pessimistic"
"Africa","BEN","Benin","Plateau",NA,"39.7","39.1",0.0938,0.0952,0.0965,"Pessimistic"
"Africa","BEN","Benin","Zou","25.9","25.6","25.3",0.1307,0.1324,0.1341,"Pessimistic"
