"continent","iso","admin_0","admin_1","t_lci","t_med","t_uci","s_lci","s_med","s_uci","scenario"
"Africa","AGO","Angola","Bengo","17.8","17.6","17.4",0.3166,0.3206,0.3246,"Pessimistic"
"Africa","AGO","Angola","Benguela","20.4","19.9","19.4",0.2844,0.2913,0.2982,"Pessimistic"
"Africa","AGO","Angola","Bie","18.3","18.1","17.9",0.289,0.2921,0.2952,"Pessimistic"
"Africa","AGO","Angola","Cabinda","15.1","14.9","14.8",0.361,0.3646,0.3681,"Pessimistic"
"Africa","AGO","Angola","Cuando Cubango","13.2","13.1","13",0.3411,0.3441,0.3471,"Pessimistic"
"Africa","AGO","Angola","Cuanza Norte","17.4","17.2","17.1",0.3372,0.3405,0.3438,"Pessimistic"
"Africa","AGO","Angola","Cuanza Sul","27.1","26.7","26.3",0.2252,0.2286,0.232,"Pessimistic"
"Africa","AGO","Angola","Cunene","14.3","14","13.7",0.3416,0.3495,0.3573,"Pessimistic"
"Africa","AGO","Angola","Huambo","17","16.6","16.2",0.3197,0.3275,0.3352,"Pessimistic"
"Africa","AGO","Angola","Huila","14.8","14.4","14.1",0.3579,0.3679,0.378,"Pessimistic"
"Africa","AGO","Angola","Luanda","19.1","18.8","18.5",0.3173,0.3228,0.3282,"Pessimistic"
"Africa","AGO","Angola","Lunda Norte","18.9","18.7","18.4",0.2552,0.2588,0.2625,"Pessimistic"
"Africa","AGO","Angola","Lunda Sul","16","15.7","15.5",0.2862,0.2911,0.296,"Pessimistic"
"Africa","AGO","Angola","Malanje","17.2","17","16.9",0.3299,0.333,0.3362,"Pessimistic"
"Africa","AGO","Angola","Moxico","13.7","13.5","13.3",0.278,0.2817,0.2854,"Pessimistic"
"Africa","AGO","Angola","Namibe","15.1","14.6","14.2",0.3277,0.3387,0.3498,"Pessimistic"
"Africa","AGO","Angola","Uige","20.6","20.4","20.2",0.2862,0.2893,0.2924,"Pessimistic"
"Africa","AGO","Angola","Zaire","11","10.9","10.8",0.4546,0.4582,0.4618,"Pessimistic"
"Africa","BDI","Burundi","Bubanza","5.1","5","4.9",0.363,0.3675,0.3721,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Mairie","6.8","6.6","6.5",0.3481,0.3537,0.3594,"Pessimistic"
"Africa","BDI","Burundi","Bujumbura Rural","6.3","6.2","6.1",0.3226,0.328,0.3334,"Pessimistic"
"Africa","BDI","Burundi","Bururi","8.5","8.3","8.1",0.2663,0.2733,0.2802,"Pessimistic"
"Africa","BDI","Burundi","Cankuzo","5.6","5.5","5.5",0.3717,0.375,0.3783,"Pessimistic"
"Africa","BDI","Burundi","Cibitoke","4.5","4.4","4.4",0.3872,0.3912,0.3951,"Pessimistic"
"Africa","BDI","Burundi","Gitega","6.6","6.6","6.5",0.3539,0.3572,0.3605,"Pessimistic"
"Africa","BDI","Burundi","Karuzi","6.4","6.3","6.3",0.3809,0.3836,0.3863,"Pessimistic"
"Africa","BDI","Burundi","Kayanza","5","5","4.9",0.3732,0.3767,0.3801,"Pessimistic"
"Africa","BDI","Burundi","Kirundo","5.7","5.6","5.6",0.3586,0.3614,0.3643,"Pessimistic"
"Africa","BDI","Burundi","Makamba","7.7","7.6","7.5",0.3233,0.3275,0.3316,"Pessimistic"
"Africa","BDI","Burundi","Muramvya","6.4","6.4","6.3",0.3215,0.3258,0.33,"Pessimistic"
"Africa","BDI","Burundi","Muyinga","5.8","5.7","5.7",0.3661,0.3687,0.3714,"Pessimistic"
"Africa","BDI","Burundi","Mwaro","5.8","5.7","5.6",0.3371,0.3426,0.3481,"Pessimistic"
"Africa","BDI","Burundi","Ngozi","6.3","6.2","6.2",0.3392,0.3421,0.345,"Pessimistic"
"Africa","BDI","Burundi","Rumonge","9.6","9.4","9.2",0.2505,0.2551,0.2598,"Pessimistic"
"Africa","BDI","Burundi","Rutana","6","5.9","5.9",0.348,0.3515,0.355,"Pessimistic"
"Africa","BDI","Burundi","Ruyigi","5.6","5.5","5.5",0.3714,0.3743,0.3771,"Pessimistic"
"Africa","BEN","Benin","Alibori","36.8","36.2","35.6",0.1007,0.1028,0.1049,"Pessimistic"
"Africa","BEN","Benin","Atakora","25.3","25.1","24.9",0.1646,0.1661,0.1676,"Pessimistic"
"Africa","BEN","Benin","Atlantique","18.6","18.4","18.2",0.1978,0.2004,0.2029,"Pessimistic"
"Africa","BEN","Benin","Borgou","24.4","24.1","23.8",0.1631,0.1653,0.1675,"Pessimistic"
"Africa","BEN","Benin","Collines","13.4","13.3","13.1",0.2531,0.256,0.2588,"Pessimistic"
"Africa","BEN","Benin","Couffo","17.2","17","16.9",0.2059,0.2079,0.21,"Pessimistic"
"Africa","BEN","Benin","Donga","12.7","12.6","12.5",0.2745,0.2773,0.28,"Pessimistic"
"Africa","BEN","Benin","Littoral","17.7","17.4","17.1",0.2128,0.2164,0.2199,"Pessimistic"
"Africa","BEN","Benin","Mono","24.6","24.3","24",0.1559,0.1579,0.1599,"Pessimistic"
"Africa","BEN","Benin","Oueme","18.6","18.3","18",0.1954,0.1984,0.2015,"Pessimistic"
"Africa","BEN","Benin","Plateau","24","23.8","23.5",0.1575,0.1592,0.1609,"Pessimistic"
"Africa","BEN","Benin","Zou","14.7","14.5","14.4",0.2308,0.2335,0.2362,"Pessimistic"
"Africa","BFA","Burkina Faso","Boucle du Mouhoun","14.7","14.5","14.4",0.2477,0.2504,0.253,"Pessimistic"
"Africa","BFA","Burkina Faso","Cascades","7.3","7.2","7.1",0.3847,0.3893,0.3938,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre","8.1","8","7.8",0.3706,0.3781,0.3856,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Est","10.6","10.5","10.3",0.3031,0.3076,0.3121,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Nord","9","8.9","8.8",0.3586,0.363,0.3674,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Ouest","9.7","9.6","9.4",0.3444,0.3488,0.3533,"Pessimistic"
"Africa","BFA","Burkina Faso","Centre-Sud","9.6","9.5","9.4",0.3199,0.3243,0.3286,"Pessimistic"
"Africa","BFA","Burkina Faso","Est","8.8","8.7","8.6",0.3478,0.3513,0.3547,"Pessimistic"
"Africa","BFA","Burkina Faso","Haut-Bassins","9.7","9.6","9.5",0.3163,0.3206,0.325,"Pessimistic"
"Africa","BFA","Burkina Faso","Nord","9.1","9","8.9",0.3684,0.3728,0.3773,"Pessimistic"
"Africa","BFA","Burkina Faso","Plateau-Central","7.6","7.5","7.4",0.3947,0.3991,0.4036,"Pessimistic"
"Africa","BFA","Burkina Faso","Sahel","9.8","9.6","9.5",0.3356,0.34,0.3443,"Pessimistic"
"Africa","BFA","Burkina Faso","Sud-Ouest","7.8","7.7","7.7",0.3548,0.3582,0.3617,"Pessimistic"
